"TMNr_plus_texLett",BL
10008,"XI, S. 2; XII, S. 2"
10016,"XII, S. 2"
10018,"VIII, S. 1; X, S. 2; XII, S. 2"
10066,"XII, S. 2f."
10078,"VIII, S. 4; X, S. 4; XII, S. 3"
10080,"VIII, S. 4; XII, S. 3"
10095,"XII, S. 4"
1009a,"XII, S. 49"
10116,"XI, S. 5; XII, S. 4"
10145,"VIII, S. 16f.; XII, S. 8"
10160,"X, S. 27; XI, S. 38; XII, S. 31"
10203,"XII, S. 32"
10203,"XII, S. 32"
10219,"XII, S. 32"
10224,"XII, S. 32"
10224,"XII, S. 32"
10227,"VIII, S. 63; XII, S. 32"
10238,"XII, S. 41"
10244,"XI, S. 49; XII, S. 41"
10244,"XI, S. 49; XII, S. 41"
10245,"XI, S. 43; XII, S. 40"
10280,"XII, S. 42"
10284,"IX, S. 39; XII, S. 42"
10291,"XII, S. 42"
10293,"XII, S. 43"
10308,"VIII, S. 69; IX, S. 40; XI, S. 52; XII, S. 43"
10328,"VIII, S. 69; XII, S. 44"
10348,"VIII, S. 69; IX, S. 40; XII, S. 44"
10362,"XII, S. 44"
10375,"XII, S. 44"
10386,"XII, S. 44"
10387,"XII, S. 44"
10414,"XII, S. 44"
10415,"XII, S. 44"
10445,"VIII, S. 87; XII, S. 53"
10472,"IX, S. 60; XII, S. 53"
10525,"VIII, S. 88; IX, S. 60; XII, S. 53"
10546,"X, S. 42; XI, S. 64; XII, S. 53"
10554,"XII, S. 54"
10556,"XI, S. 65; XII, S. 54"
10561,"XII, S. 54"
10563,"XII, S. 54"
10594,"XII, S. 56"
10594,"XII, S. 56"
10609,"VIII, S. 89; IX, S. 63; X, S. 43; XII, S. 56"
1061,"XII, S. 49"
10612,"XII, S. 63"
10619,"XII, S. 63"
10620,"X, S. 62; XII, S. 63"
10624,"XII, S. 63"
10641,"XII, S. 64"
10643,"XII, S. 64"
10654,"XII, S. 64"
10654,"XII, S. 64"
10688,"IX, S. 153/154; XI, S. 126; XII, S. 114"
10689,"X, S. 63; XI, S. 73; XII, S. 64"
10690,"X, S. 63; XII, S. 64"
10691,"XII, S. 64"
10699,"X, S. 63; XI, S. 73; XII, S. 64"
10701,"XII, S. 64"
10702,"X, S. 63; XII, S. 64"
10704,"XII, S. 64"
10705,"XII, S. 64"
10711,"XII, S. 64"
10712,"XII, S. 64"
10715,"X, S. 62/63; XI, S. 73; XII, S. 64"
10716,"XII, S. 64"
10727,"XII, S. 113"
10729,"XII, S. 113"
10731,"XII, S. 113"
10733,"XII, S. 113"
107414,"XII, S. 127"
10744b,"XII, S. 113"
10751,"XII, S. 113"
10757,"XII, S. 113"
10761,"X, S. 112; XII, S. 113"
10761,"X, S. 112; XII, S. 113"
10775,"VIII, S. 122; XII, S. 68"
10787,"XII, S. 68"
10820,"XII, S. 68"
10892,"XII, S. 68"
10913,"X, S. 67; XII, S. 68"
10960b,"XII, S. 69"
10985,"XII, S. 70"
10989,"XII, S. 70"
10990,"XII, S. 70"
10998,"XII, S. 70"
11000,"XII, S. 70"
11003,"XII, S. 71"
11008,"XII, S. 71"
11014,"XI, S. 80; XII, S. 71"
11042,"XII, S. 71"
11058,"VIII, S. 127; X, S. 71; XI, S. 80; XII, S. 71"
11058,"VIII, S. 127; X, S. 71; XI, S. 80; XII, S. 71"
11061,"XI, S. 80; XII, S. 71"
11064,"XII, S. 71"
11068,"XI, S. 80; XII, S. 71"
11070,"XI, S. 80; XII, S. 71"
11071,"VIII, S. 127; XI, S. 80; XII, S. 71"
11073,"XI, S. 80; XII, S. 71"
11076,"XI, S. 80; XII, S. 71"
11076,"XI, S. 80; XII, S. 71"
11103,"VIII, S. 127; XII, S. 71"
11107,"XII, S. 71"
11107,"XII, S. 71"
11112,"XI, S. 80; XII, S. 71"
11124,"VIII, S. 127; IX, S. 85; XII, S. 71"
11124,"VIII, S. 127; IX, S. 85; XII, S. 71"
11138,"VIII, S. 127; IX, S. 85; XI, S. 80; XII, S. 71"
11139,"VIII, S. 127; IX, S. 85; XII, S. 71"
11144,"VIII, S. 127; IX, S. 85; X, S. 72; XII, S. 71"
11166,"VIII, S. 129; XII, S. 71"
11213,"XI, S. 83; XII, S. 74"
11219,"XII, S. 74"
11224,"XII, S. 74"
11237,"XII, S. 75"
11247,"XII, S. 75"
11251c,"VIII, S. 136; ; XII, S. 75"
11259,"XII, S. 75"
11268a,"XII, S. 76"
11268b,"XII, S. 76"
11268c,"XII, S. 76"
11274,"XII, S. 78"
11321,"IX, S. 97; XII, S. 81"
11322,"IX, S. 97/98; XII, S. 81"
11327,"XII, S. 80f."
11328,"IX, S. 96; XII, S. 81"
11340,"IX, S. 96; XII, S. 81"
11346,"IX, S. 97; XII, S. 81"
11346,"IX, S. 97; XII, S. 81"
11359,"XII, S. 81"
11364,"IX, S. 97; XII, S. 81"
11366,"VIII, S. 143; X, S. 80; XII, S. 81"
11368,"XII, S. 243"
11373,"XII, S. 82"
11374,"XII, S. 82"
11382,"XII, S. 243"
11434,"XII, S. 83"
11475,"XII, S. 86f."
11498,"XII, S. 91f."
115,"XII, S. 80"
11505,"XII, S. 91"
11533,"IX, S. 115; XI, S. 106; XII, S. 96"
11552,"IX, S. 117; XII, S. 96"
1157,"XII, S. 49"
11597,"X, S. 91; XII, S. 97"
11597,"X, S. 91; XII, S. 97"
11623,"XII, S. 100"
11647a,"VIII, S. 174; IX, S. 126; XI, S. 110; XII, S. 100"
11658,"VIII, S. 175; IX, S. 127/128; XII, S. 100"
11666,"VIII, S. 175/176; XII, S. 100f."
11676,"XII, S. 101"
11677,"XII, S. 242"
11700,"XII, S. 101"
11712,"XII, S. 101"
11716,"XII, S. 101"
11718,"VIII, S. 177; XII, S. 101"
11734,"VIII, S. 177; XII, S. 101"
11755,"XII, S. 101"
11758,"X, S. 103; XII, S. 103"
11762,"VIII, S. 185; IX, S. 141; X, S. 104/105; XII, S. 103"
11763,"XII, S. 246"
11764,"XII, S. 103"
11781,"IX, S. 142; XII, S. 104"
11782,"IX, S. 142; XII, S. 104"
11783,"IX, S. 143; XII, S. 104"
11797,"VIII, S. 180; XII, S. 102"
11819,"IX, S. 132/133; XII, S. 102"
11819,"IX, S. 132/133; XII, S. 102"
11822,"VIII, S. 181; IX, S. 136; XII, S. 102"
11825,"XII, S. 112"
11829,"XII, S. 112"
11830,"XII, S. 112"
11832,"XII, S. 111"
11840,"XI, S. 124; XII, S. 112"
11842,"XII, S. 111"
11861,"XII, S. 112"
11862,"XII, S. 112"
11882,"XII, S. 116"
11906,"VIII, S. 207; XII, S. 117"
11912,"VIII, S. 209; X, S. 121; XII, S. 118"
11939,"VIII, S. 209; X, S. 121; XII, S. 118"
11962,"IX, S. 158; X, S. 121; XII, S. 118"
11964,"VIII, S. 211; IX, S. 158; X, S. 122; XII, S. 119"
11967a,"VIII, S. 211; X, S. 122/123; XI, S. 130; XII, S. 119"
11979,"VIII, S. 211; XII, S. 120"
11998a,"VIII, S. 212; IX, S. 159; X, S. 123; XII, S. 120"
11999,"VIII, S. 212; IX, S. 159; X, S. 124; XI, S. 131; XII, S. 120"
12,"XII, S. 3"
12000,"VIII, S. 212/213; XII, S. 120"
12022,"XII, S. 123"
12038,"VIII, S. 215; XII, S. 123"
12042,"XII, S. 123"
12044,"VIII, S. 215; XII, S. 123"
12047,"XII, S. 123"
12054,"XII, S. 123"
12076,"XII, S. 120"
12077,"XII, S. 120"
12095,"XII, S. 121"
12095,"XII, S. 121"
12099,"XII, S. 121"
12100,"XII, S. 121"
12114,"XII, S. 121"
12117,"XII, S. 121"
12127,"XII, S. 122"
12146,"XII, S. 122"
12153,"XII, S. 122"
12155,"XII, S. 122"
12158,"IX, S. 160; XII, S. 122"
1217,"XII, S. 49"
12266,"XII, S. 122"
12267,"XII, S. 123"
12269,"VIII, S. 216; XII, S. 123f."
12405,"VIII, S. 222; IX, S. 169; XII, S. 127"
12454,"X, S. 131; XII, S. 127"
12466,"XII, S. 130"
12473,"XII, S. 130"
12555,"VIII, S. 228; XI, S. 140; XII, S. 132"
12585,"XII, S. 113"
12588,"XII, S. 113"
126,"VIII, S. 38; XII, S. 17"
12600,"XII, S. 246"
12732,"XII, S. 160"
12732,"XII, S. 160"
12741,"XII, S. 160"
12744,"IX, S. 216; XII, S. 162"
1275,"IX, S. 55; XII, S. 49"
12802,"XII, S. 162"
12810,"XI, S. 181; XII, S. 162"
12810,"XI, S. 181; XII, S. 162"
12811,"XII, S. 162"
12813,"VIII, S. 282; XII, S. 162"
12816,"XII, S. 163"
12816,"XII, S. 163"
1282,"XII, S. 49"
12827,"XII, S. 163"
12846,"VIII, S. 284; XII, S. 164"
12850,"IX, S. 169; XII, S. 128"
12866,"XII, S. 57 (zu CPR V 13)"
12886,"VIII, S. 290; IX, S. 225; XII, S. 166"
12889,"XII, S. 166"
12911,"XI, S. 189; XII, S. 168"
12946b,"XII, S. 168"
12949,"XII, S. 168"
12950,"XII, S. 168"
12952,"XII, S. 169"
12982a,"XII, S. 230"
12996,"XII, S. 169"
13017,"XII, S. 169f."
13020,"VIII, S. 296; X, S. 170; XII, S. 170"
13023,"IX, S. 230; X, S. 171; XI, S. 191; XII, S. 171"
13031,"VIII, S. 299; XII, S. 171"
13051,"VIII, S. 300; IX, S. 230; X, S. 171; XII, S. 171"
13051,"VIII, S. 300; IX, S. 230; X, S. 171; XII, S. 171"
13051,"VIII, S. 300; IX, S. 230; X, S. 171; XII, S. 171"
13052,"VIII, S. 300; X, S. 171/172; XI, S. 192; XII, S. 171"
13053,"VIII, S. 300; XII, S. 171"
1308,"XII, S. 49"
131,"IX, S. 154; XI, S. 126; XII, S. 114"
1311,"XI, S. 56; XII, S. 49"
13117,"XII, S. 235"
13120,"X, S. 113; XII, S. 113"
13145,"VIII, S. 412; IX, S. 323; XII, S. 259"
13173,"VIII, S. 415; IX, S. 325; XII, S. 259"
13201,"XII, S. 260"
13207,"VIII, S. 416; IX, S. 326; XII, S. 260"
13233,"VIII, S. 417; IX, S. 326; XI, S. 255f.; XII, S. 260"
13233,"VIII, S. 417; IX, S. 326; XI, S. 255f.; XII, S. 260"
13233,"VIII, S. 417; IX, S. 326; XI, S. 255f.; XII, S. 260"
13245,"XII, S. 263"
13259,"IX, S. 331; XI, S. 257; XII, S. 263f."
13262,"IX, S. 331; XII, S. 264"
13263,"IX, S. 331; XII, S. 264"
13265,"XI, S. 257f.; XII, S. 209 (zu SB XIV 11354) und 264"
13267,"X, S. 259; XII, S. 264"
13282,"XII, S. 261"
1337a,"XII, S. 49f."
1337b,"XII, S. 49f."
13383,"VIII, S. 420; XI, S. 256; XII, S. 261"
13384,"VIII, S. 420; X, S. 256; XII, S. 261"
13394,"VIII, S. 422; XII, S. 261f."
13397,"XII, S. 262"
13415,"XII, S. 51"
13425,"VIII, S. 429; XII, S. 263"
13431b,"XII, S. 263"
13431c,"VIII, S. 430; XII, S. 263"
13431d,"XII, S. 263"
13431e,"VIII, S. 430; XII, S. 263"
13438,"VIII, S. 431; XII, S. 263"
13474,"IX, S. 355; XII, S. 281"
13475,"XI, S. 278; XII, S. 281"
13476,"XII, S. 281"
13525,"XII, S. 281"
13557,"XII, S. 281"
1362,"XII, S. 50"
13621,"XII, S. 281"
13622,"XII, S. 246"
13631,"XII, S. 281"
13673,"XII, S. 112"
13684a,"VIII, S. 506; XI, S. 288; XII, S. 288"
13691a,"VIII, S. 505; XI, S. 288; XII, S. 287"
13691b,"VIII, S. 505; XI, S. 288; XII, S. 287"
13727,"VIII, S. 513; IX, S. 375; XII, S. 290"
13729,"IX, S. 375; X, S. 284; XII, S. 290"
13729,"IX, S. 375; X, S. 284; XII, S. 290"
13729,"IX, S. 375; X, S. 284; XII, S. 290"
13748,"XII, S. 248"
13748,"XII, S. 248"
13748,"XII, S. 248"
13758,"XI, S. 249; XII, S. 254"
13771,"VIII, S. 405; XII, S. 254"
13773,"VIII, S. 405; XII, S. 254"
13784,"XII, S. 252"
13804,"XII, S. 253"
13820,"XII, S. 253"
13833,"XII, S. 255"
13834,"XII, S. 255 (zu PSI X 1116)"
13838,"VIII, S. 406; IX, S. 320; XII, S. 255"
13872,"X, S. 248; XII, S. 257"
13874,"IX, S. 321; XII, S. 257"
13937,"VIII, S. 309; IX, S. 239; XII, S. 178"
13977,"IX, S. 242; XII, S. 181"
13979,"IX, S. 242; XII, S. 181"
13986,"XII, S. 181"
13994,"IX, S. 243; XII, S. 182"
14,"XII, S. 3"
14023,"XII, S. 188"
14029,"XII, S. 189"
14035,"IX, S. 249; XII, S. 190"
14036,"IX, S. 249; XII, S. 190"
14037,"IX, S. 249; XII, S. 190"
14058,"VIII, S. 337; XII, S. 193"
14067,"XII, S. 194"
14081,"XI, S. 205; XII, S. 194"
14081,"XI, S. 205; XII, S. 194"
14087,"XII, S. 194"
14138,"VIII, S.343; IX, S. 256; XII, S. 196"
1415,"XII, S. 50"
14156,"XII, S. 196"
14169,"VIII, S.344-348; IX, S. 258; X, S. 198; XII, S. 196"
14172,"VIII, S.344-348; X, S. 199; XII, S. 196"
14173,"VIII, S.344-348; IX, S. 258; X, S. 199; XII, S. 196"
14175,"VIII, S. 348; XII, S. 196"
14243,"X, S. 200; XII, S. 197"
14253,"VIII, S. 350; XI, S. 208; XII, S. 198"
14282,"VIII, S. 353; XII, S. 199"
14290,"IX, S. 265/266; XI, S. 210; XII, S. 201"
14293,"VIII, S. 356; XII, S. 201"
14296,"XII, S. 201"
14304,"XII, S. 202"
14305,"XII, S. 231"
